username, password, team_id, admin, superadmin
admin,admin,None,True,False
superadmin,superadmin,None,True,True
FCVervoort,password,1,False,False
SVGooreinde,password,2,False,False
RSCorsica,password,3,False,False
DeKeyzerUnited,password,4,False,False
VKHeultje,password,5,False,False
VKHeultjeB,password,6,False,False
FCLindau,password,7,False,False
FCHeidester,password,8,False,False
FCHeidesterB,password,9,False,False
FCValvecke,password,10,False,False
FCValveckeB,password,11,False,False
KFCDiamantschijf,password,12,False,False
SKDiamant,password,13,False,False
SKDiamantB,password,14,False,False
FCSportief,password,15,False,False
FCVarenwinkel,password,16,False,False
FCDeWeerdt,password,17,False,False
FCDeWeerdtB,password,18,False,False
FCHeistGoor,password,19,False,False
FCHeistGoorB,password,20,False,False
RSCorsicaVeteranen,password,21,False,False
HSV,password,22,False,False
VCStefke,password,23,False,False
DeKeyzerUnitedVeteranen,password,24,False,False
OudNijlen,password,25,False,False
FCVispluk,password,26,False,False
VK'tKaske,password,27,False,False
VeteranenRamsel,password,28,False,False
FCSilverbacks,password,29,False,False
FCMartinus,password,30,False,False
RealPutte,password,31,False,False
ForzaMikaza,password,32,False,False
FCFlamingo,password,33,False,False
SVVCPutte,password,34,False,False
FCGloriaNGB,password,35,False,False
FCSparka,password,36,False,False
FCSportiefB,password,37,False,False
VKAlbatros,password,38,False,False
RoUnited,password,39,False,False
ForzaMikazaVeteranen,password,40,False,False
FCDeWeerdtVeteranen,password,41,False,False
VKDenBierpot,password,42,False,False
KSKHeffers,password,43,False,False
FC'tHutteke,password,44,False,False
FCVoet,password,45,False,False
KVCBooischot,password,46,False,False
FCClub2,password,47,False,False
HalderUnited,password,48,False,False
FCDeDreef,password,49,False,False
KFCVeraboys,password,50,False,False
FC'tGewat,password,51,False,False
RealSas,password,52,False,False
VKBergen,password,53,False,False
FCFortuna,password,54,False,False
FCUnited,password,55,False,False
BLBBG,password,56,False,False
FCFiat,password,57,False,False
TeamAasem,password,58,False,False
VKKlungel,password,59,False,False
RSCorsicaB,password,60,False,False
FCDasGeneZever,password,61,False,False
KVVBlauwenHoek,password,62,False,False
ZWDLaFolie,password,63,False,False
CPBananas,password,64,False,False
KFCPutte,password,65,False,False
FCFiatVeteranen,password,66,False,False
FCDeNieuweKroon,password,67,False,False
HalderUnitedB,password,68,False,False
DCWittegracht,password,69,False,False
MolenzonenUnited,password,70,False,False
CasualUnitedFC,password,71,False,False

